Hash,1,2,3,4,5,6,7,8,Min,Average,Max,Variance,Median
bbs,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
city_2,15624,15622,15622,15623,15624,15622,15621,15621,15621,15622.38,15624,1.41,15622
city_3,15624,15622,15622,15623,15623,15623,15622,15624,15622,15622.88,15624,0.70,15623
city_4,15623,15620,15624,15624,15622,15622,15623,15622,15620,15622.50,15624,1.71,15623
esgtsa_linear,15623,15624,15624,15624,15623,15623,15622,15622,15622,15623.13,15624,0.70,15623
esgtsa_nested,15622,15624,15624,15621,15623,15622,15621,15624,15621,15622.63,15624,1.70,15623
fast,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
ign,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
iqint1_linear,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
iqint1_nested,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
iqint2,3376,3462,3443,3396,3316,3394,3527,3045,3045,3369.88,3527,21181.55,3395
iqint3,15624,15623,15623,15623,15622,15621,15624,15622,15621,15622.75,15624,1.07,15623
jkiss32_linear,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
jkiss32_nested,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
lcg_linear,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
lcg_nested,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
md5_2,233,228,249,251,236,229,247,260,228,241.63,260,137.13,242
md5_3,220,243,217,243,236,250,232,262,217,237.88,262,224.98,240
md5,253,264,255,234,239,233,213,253,213,243.00,264,268.86,246
murmur3_2,15623,15624,15623,15624,15622,15622,15623,15620,15620,15622.63,15624,1.70,15623
murmur3_3,15624,15623,15622,15623,15622,15624,15624,15623,15622,15623.13,15624,0.70,15623
murmur3_4,15621,15623,15624,15624,15623,15622,15623,15623,15621,15622.88,15624,0.98,15623
pcg_linear,15623,15624,15624,15623,15623,15621,15624,15624,15621,15623.25,15624,1.07,15624
pcg_nested,15623,15624,15623,15624,15623,15623,15622,15622,15622,15623.00,15624,0.57,15623
pcg2d,13741,13742,13750,13731,13722,13717,13743,13782,13717,13741.00,13782,400.57,13742
pcg3d,1566,1641,1675,1600,1668,1685,1575,1633,1566,1630.38,1685,2091.98,1637
pcg3d16,15621,15621,15621,15621,15621,15621,15621,15621,15621,15621.00,15621,0.00,15621
pcg4d,518,480,458,444,473,488,447,463,444,471.38,518,588.55,468
pseudo,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
ranlim32_linear,15622,15624,15623,15622,15623,15622,15624,15624,15622,15623.00,15624,0.86,15623
ranlim32_nested,15624,15621,15622,15624,15623,15623,15623,15623,15621,15622.88,15624,0.98,15623
superfast_2,15623,15622,15623,15624,15623,15623,15623,15623,15622,15623.00,15624,0.29,15623
superfast_3,15623,15623,15624,15622,15624,15623,15623,15621,15621,15622.88,15624,0.98,15623
superfast_4,15624,15624,15621,15624,15623,15621,15624,15623,15621,15623.00,15624,1.71,15624
tea2,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
tea3,15576,15564,15567,15595,15573,15558,15552,15541,15541,15565.75,15595,268.50,15566
tea4,13837,13848,13830,13844,13826,13940,13786,13763,13763,13834.25,13940,2709.36,13834
tea5,13688,13697,13774,13732,13736,13718,13739,13773,13688,13732.13,13774,980.98,13734
trig,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
wang_linear,15622,15624,15620,15623,15624,15624,15623,15623,15620,15622.88,15624,1.84,15623
wang_nested,15622,15623,15623,15623,15622,15622,15624,15624,15622,15622.88,15624,0.70,15623
xorshift128,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
xorshift32_linear,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
xorshift32_nested,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
xxhash32_2,15624,15623,15623,15621,15623,15623,15622,15624,15621,15622.88,15624,0.98,15623
xxhash32_3,15623,15624,15621,15623,15624,15624,15623,15622,15621,15623.00,15624,1.14,15623
xxhash32_4,15623,15623,15623,15623,15623,15624,15624,15623,15623,15623.25,15624,0.21,15623
hybridtaus,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
white,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
black,15624,15624,15624,15624,15624,15624,15624,15624,15624,15624.00,15624,0.00,15624
checkerboard,15621,15621,15621,15621,15621,15621,15621,15621,15621,15621.00,15621,0.00,15621
devrandom,219,247,245,231,257,221,241,254,219,239.38,257,205.70,243